to,from,read_tape1,read_tape2,read_tape3,read_tape4,read_tape5,write_tape1,write_tape2,write_tape3,write_tape4,write_tape5,move_tape1,move_tape2,move_tape3,move_tape4,move_tape5
5,9,,,Y,L,1,,,Y,L,1,S,S,S,S,R
5,9,,,Y,O,1,,,Y,O,1,S,S,S,S,R
33,33,1,,1,O,O,,,,O,O,R,S,L,S,S
24,22,Y,Y,,O,L,Y,Y,,O,L,S,S,S,R,R
21,63,,,1,,,,,,,,S,S,L,S,S
7,11,,,Y,L,1,,,Y,L,1,S,S,S,S,R
7,11,,,Y,O,1,,,Y,O,1,S,S,S,S,R
4,8,,,Y,1,1,,,Y,1,1,S,S,S,R,R
4,8,,,Y,1,L,,,Y,1,L,S,S,S,R,S
4,8,,,Y,1,O,,,Y,1,O,S,S,S,R,S
46,39,,,1,,,,,1,,,S,S,L,S,S
33,31,1,,,O,O,1,,,O,O,S,S,L,S,S
47,40,,,1,,,,,1,,,S,S,L,S,S
9,4,,,Y,L,1,,,Y,L,1,S,S,S,S,R
9,4,,,Y,O,1,,,Y,O,1,S,S,S,S,R
51,50,,,1,,,,,1,,,S,S,L,S,S
15,12,,,Y,1,L,,,Y,1,L,S,S,S,R,S
15,12,,,Y,1,O,,,Y,1,O,S,S,S,R,S
29,29,1,1,,L,L,1,1,,L,L,L,L,S,S,S
29,29,1,1,,O,O,1,1,,O,O,L,L,S,S,S
15,12,,,Y,1,1,,,Y,1,1,S,S,S,R,R
22,20,Y,,,O,L,Y,,,O,L,S,L,S,S,S
8,3,,,Y,L,1,,,Y,L,1,S,S,S,S,R
8,3,,,Y,O,1,,,Y,O,1,S,S,S,S,R
54,43,,,Y,,,,,Y,,,S,S,R,S,S
18,18,,,1,O,O,,,1,O,O,S,S,R,S,S
18,18,,,1,L,L,,,1,L,L,S,S,R,S,S
18,18,,,1,L,O,,,1,L,O,S,S,R,S,S
18,18,,,1,O,L,,,1,O,L,S,S,R,S,S
54,54,,,1,,,,,1,,,S,S,R,S,S
6,10,,,Y,1,1,,,Y,1,1,S,S,S,R,R
61,61,,,,,,,,,,,S,S,R,S,S
54,51,,,Y,,,,,Y,,,S,S,R,S,S
6,10,,,Y,1,L,,,Y,1,L,S,S,S,R,S
6,10,,,Y,1,O,,,Y,1,O,S,S,S,R,S
57,56,,,1,,,,,1,,,S,S,L,S,S
12,16,,,Y,L,1,,,Y,L,1,S,S,S,S,R
12,16,,,Y,O,1,,,Y,O,1,S,S,S,S,R
5,9,,,Y,1,1,,,Y,1,1,S,S,S,R,R
54,47,,,Y,,,,,Y,,,S,S,R,S,S
5,9,,,Y,1,L,,,Y,1,L,S,S,S,R,S
5,9,,,Y,1,O,,,Y,1,O,S,S,S,R,S
54,59,,,Y,,,,,Y,,,S,S,R,S,S
7,11,,,Y,1,L,,,Y,1,L,S,S,S,R,S
7,11,,,Y,1,O,,,Y,1,O,S,S,S,R,S
54,56,,,Y,,,,,Y,,,S,S,R,S,S
7,11,,,Y,1,1,,,Y,1,1,S,S,S,R,R
4,8,,,Y,L,1,,,Y,L,1,S,S,S,S,R
4,8,,,Y,O,1,,,Y,O,1,S,S,S,S,R
9,4,,,Y,1,1,,,Y,1,1,S,S,S,R,R
9,4,,,Y,1,L,,,Y,1,L,S,S,S,R,S
9,4,,,Y,1,O,,,Y,1,O,S,S,S,R,S
14,13,,,Y,O,1,1,,Y,O,1,R,S,S,S,R
15,12,,,Y,L,1,,,Y,L,1,S,S,S,S,R
15,12,,,Y,O,1,,,Y,O,1,S,S,S,S,R
8,3,,,Y,1,1,,,Y,1,1,S,S,S,R,R
8,3,,,Y,1,L,,,Y,1,L,S,S,S,R,S
8,3,,,Y,1,O,,,Y,1,O,S,S,S,R,S
12,16,,,Y,1,L,,,Y,1,L,S,S,S,R,S
12,16,,,Y,1,O,,,Y,1,O,S,S,S,R,S
54,63,,,Y,,,,,Y,,,S,S,R,S,S
12,16,,,Y,1,1,,,Y,1,1,S,S,S,R,R
6,10,,,Y,L,1,,,Y,L,1,S,S,S,S,R
6,10,,,Y,O,1,,,Y,O,1,S,S,S,S,R
61,61,,,1,,,,,,,,S,S,R,S,S
54,52,,,Y,,,,,Y,,,S,S,R,S,S
56,55,,,1,,,,,1,,,S,S,L,S,S
13,15,,,Y,1,1,,,Y,1,1,S,S,S,R,R
13,15,,,Y,1,L,,,Y,1,L,S,S,S,R,S
13,15,,,Y,1,O,,,Y,1,O,S,S,S,R,S
61,54,,,,,,,,,,,S,S,R,S,S
37,43,,,1,,,,,1,,,S,S,L,S,S
35,34,,,,1,1,,,,1,1,S,S,S,S,S
54,48,,,Y,,,,,Y,,,S,S,R,S,S
40,46,,,1,,,,,1,,,S,S,L,S,S
2,1,,,Y,1,1,,,Y,1,1,S,S,S,R,R
54,36,,,Y,,,,,Y,,,S,S,R,S,S
54,58,,,Y,,,,,Y,,,S,S,R,S,S
13,15,,,Y,L,1,,,Y,L,1,S,S,S,S,R
13,15,,,Y,O,1,,,Y,O,1,S,S,S,S,R
21,35,,,,,,,,X,,,S,S,L,S,S
54,46,,,Y,,,,,Y,,,S,S,R,S,S
54,42,,,Y,,,,,Y,,,S,S,R,S,S
58,57,,,1,,,,,1,,,S,S,L,S,S
32,32,,1,1,L,L,,,,L,L,S,R,L,S,S
20,18,,,,O,L,,,,O,L,L,S,S,S,S
20,18,,,,L,O,,,,L,O,L,S,S,S,S
53,52,,,1,,,,,1,,,S,S,L,S,S
23,20,Y,,,L,O,Y,,,L,O,S,L,L,S,S
42,21,,,1,,,,,1,,,S,S,L,S,S
49,48,,,1,,,,,1,,,S,S,L,S,S
34,32,,,1,L,L,,,1,L,L,S,S,R,R,R
62,61,,,X,,,,,,,,S,S,S,S,S
38,44,,,1,,,,,1,,,S,S,L,S,S
54,50,,,Y,,,,,Y,,,S,S,R,S,S
1,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,R,R,S,R,R
31,29,Y,Y,,O,O,Y,Y,,O,O,R,R,S,S,S
30,29,Y,Y,,L,L,Y,Y,,L,L,R,R,S,S,S
54,21,,,Y,,,,,Y,,,S,S,R,S,S
2,14,,,Y,1,L,,,Y,1,L,S,S,S,R,S
2,14,,,Y,1,O,,,Y,1,O,S,S,S,R,S
2,14,,,Y,1,1,,,Y,1,1,S,S,S,R,R
35,24,Y,Y,,1,1,Y,Y,,1,1,R,R,S,S,S
35,35,,,,1,1,,,1,,1,S,S,R,R,S
54,45,,,Y,,,,,Y,,,S,S,R,S,S
63,59,,,1,,,,,1,,,S,S,L,S,S
29,29,1,Y,,L,L,1,Y,,L,L,L,S,S,S,S
29,29,1,Y,,O,O,1,Y,,O,O,L,S,S,S,S
52,51,,,1,,,,,1,,,S,S,L,S,S
55,53,,,1,,,,,1,,,S,S,L,S,S
50,49,,,1,,,,,1,,,S,S,L,S,S
54,49,,,Y,,,,,Y,,,S,S,R,S,S
30,30,1,1,,L,L,,1,1,L,L,R,S,R,S,S
44,37,,,1,,,,,1,,,S,S,L,S,S
35,35,,,,,1,,,1,,,S,S,R,S,R
14,13,,,Y,1,L,,1,Y,1,L,S,R,S,R,S
14,13,,,Y,1,O,,1,Y,1,O,S,R,S,R,S
20,20,1,,,O,L,,1,,O,L,L,R,S,S,S
18,14,,,Y,L,L,,,Y,L,L,S,S,R,S,S
18,14,,,Y,O,O,,,Y,O,O,S,S,R,S,S
18,14,,,Y,L,O,,,Y,L,O,S,S,R,S,S
18,14,,,Y,O,L,,,Y,O,L,S,S,R,S,S
54,57,,,Y,,,,,Y,,,S,S,R,S,S
36,42,,,1,,,,,1,,,S,S,L,S,S
2,14,,,Y,L,1,,,Y,L,1,S,S,S,S,R
2,14,,,Y,O,1,,,Y,O,1,S,S,S,S,R
54,40,,,Y,,,,,Y,,,S,S,R,S,S
34,33,,,1,O,O,,,1,O,O,S,S,R,R,R
43,36,,,1,,,,,1,,,S,S,L,S,S
29,19,,,,L,L,,,,L,L,L,L,S,S,S
29,19,,,,O,O,,,,O,O,L,L,S,S,S
32,30,,1,,L,L,,1,,L,L,S,S,L,S,S
16,7,,,Y,L,1,,,Y,L,1,S,S,S,S,R
16,7,,,Y,O,1,,,Y,O,1,S,S,S,S,R
23,23,Y,1,1,L,O,Y,,,L,O,S,L,L,S,S
54,53,,,Y,,,,,Y,,,S,S,R,S,S
54,37,,,Y,,,,,Y,,,S,S,R,S,S
10,5,,,Y,L,1,,,Y,L,1,S,S,S,S,R
10,5,,,Y,O,1,,,Y,O,1,S,S,S,S,R
11,6,,,Y,1,1,,,Y,1,1,S,S,S,R,R
11,6,,,Y,1,L,,,Y,1,L,S,S,S,R,S
11,6,,,Y,1,O,,,Y,1,O,S,S,S,R,S
19,18,,,,L,L,,,,L,L,S,S,S,S,S
19,18,,,,O,O,,,,O,O,S,S,S,S,S
31,31,1,1,,O,O,1,,1,O,O,S,R,R,S,S
3,2,,,Y,1,L,,,Y,1,L,S,S,S,R,S
3,2,,,Y,1,O,,,Y,1,O,S,S,S,R,S
22,22,Y,1,,O,L,Y,,1,O,L,S,L,R,S,S
62,54,,,X,,,,,,,,S,S,S,S,S
3,2,,,Y,1,1,,,Y,1,1,S,S,S,R,R
24,23,Y,Y,1,L,O,Y,Y,1,L,O,S,S,R,R,R
24,23,Y,Y,Y,L,O,Y,Y,Y,L,O,S,S,R,R,R
16,7,,,Y,1,1,,,Y,1,1,S,S,S,R,R
45,38,,,1,,,,,1,,,S,S,L,S,S
54,55,,,Y,,,,,Y,,,S,S,R,S,S
16,7,,,Y,1,L,,,Y,1,L,S,S,S,R,S
16,7,,,Y,1,O,,,Y,1,O,S,S,S,R,S
54,39,,,Y,,,,,Y,,,S,S,R,S,S
10,5,,,Y,1,L,,,Y,1,L,S,S,S,R,S
10,5,,,Y,1,O,,,Y,1,O,S,S,S,R,S
10,5,,,Y,1,1,,,Y,1,1,S,S,S,R,R
11,6,,,Y,L,1,,,Y,L,1,S,S,S,S,R
11,6,,,Y,O,1,,,Y,O,1,S,S,S,S,R
20,20,1,,,L,O,,1,,L,O,L,R,S,S,S
29,29,Y,1,,L,L,Y,1,,L,L,S,L,S,S,S
39,45,,,1,,,,,1,,,S,S,L,S,S
29,29,Y,1,,O,O,Y,1,,O,O,S,L,S,S,S
14,13,,,Y,L,1,1,,Y,L,1,R,S,S,S,R
54,38,,,Y,,,,,Y,,,S,S,R,S,S
48,47,,,1,,,,,1,,,S,S,L,S,S
3,2,,,Y,L,1,,,Y,L,1,S,S,S,S,R
3,2,,,Y,O,1,,,Y,O,1,S,S,S,S,R
14,13,,,Y,1,1,1,1,Y,1,1,R,R,S,R,R
54,44,,,Y,,,,,Y,,,S,S,R,S,S
59,58,,,1,,,,,1,,,S,S,L,S,S
